date,var14,var17,tar4
2000-01-01,54.8,68.55,52.85
2000-02-01,54.94,68.55,52.82
2000-03-01,54.8,68.55,52.86
2000-04-01,54.73,68.55,52.81
2000-05-01,54.87,68.55,52.93
2000-06-01,55.01,68.55,53.18
2000-07-01,55.23,68.55,53.27
2000-08-01,55.37,68.55,53.39
2000-09-01,55.52,68.55,53.42
2000-10-01,55.66,68.55,53.25
2000-11-01,55.73,74.53,53.25
2000-12-01,55.87,77.72,53.16
2001-01-01,56.16,75.1,52.02
2001-02-01,56.22,75.1,52.06
2001-03-01,56.65,75.1,52.41
2001-04-01,56.94,75.1,52.46
2001-05-01,57.09,75.1,52.64
2001-06-01,56.94,75.1,52.66
2001-07-01,56.65,75.1,52.64
2001-08-01,56.51,75.1,52.72
2001-09-01,56.44,75.1,52.79
2001-10-01,56.37,75.1,52.81
2001-11-01,56.37,75.1,53.09
2001-12-01,56.44,75.1,53.17
2002-01-01,56.44,75.1,53.16
2002-02-01,56.94,75.1,53.41
2002-03-01,57.16,77.63,53.87
2002-04-01,57.81,77.63,54.32
2002-05-01,57.87,78.37,54.53
2002-06-01,58.59,78.37,55.19
2002-07-01,58.52,77.63,55.47
2002-08-01,58.59,77.63,55.75
2002-09-01,58.52,79.68,55.99
2002-10-01,58.66,79.68,56.21
2002-11-01,58.59,79.68,56.43
2002-12-01,58.52,79.68,56.65
2003-01-01,59.02,79.6,57.06
2003-02-01,59.52,79.6,57.6
2003-03-01,60.53,80.34,57.94
2003-04-01,61.39,81.9,58.21
2003-05-01,61.17,81.9,58.52
2003-06-01,61.17,81.9,58.66
2003-07-01,61.11,81.9,58.5
2003-08-01,61.33,81.9,58.55
2003-09-01,61.39,81.9,58.57
2003-10-01,61.54,81.9,58.8
2003-11-01,61.88,81.9,59.23
2003-12-01,62.17,81.9,60.38
2004-01-01,63.4,81.9,61.14
2004-02-01,65.9,81.9,62.03
2004-03-01,68.12,81.9,63.8
2004-04-01,68.9,81.9,64.29
2004-05-01,70.2,81.9,64.66
2004-06-01,70.06,81.9,64.63
2004-07-01,70.06,81.9,64.52
2004-08-01,70.12,81.9,64.57
2004-09-01,70.41,81.9,64.91
2004-10-01,71.2,81.9,65.2
2004-11-01,71.63,81.9,65.37
2004-12-01,71.48,81.9,65.28
2005-01-01,71.56,81.9,65.39
2005-02-01,71.85,81.9,65.25
2005-03-01,72.06,81.9,64.96
2005-04-01,72.14,81.9,65.14
2005-05-01,71.85,81.9,65.08
2005-06-01,71.2,81.9,64.39
2005-07-01,71.42,81.9,64.23
2005-08-01,71.42,81.9,64.26
2005-09-01,71.35,81.9,64.27
2005-10-01,71.48,81.9,64.47
2005-11-01,71.63,81.9,64.36
2005-12-01,71.48,81.9,64.28
2006-01-01,71.05,81.9,64.25
2006-02-01,70.7,81.9,64.13
2006-03-01,71.05,81.9,64.19
2006-04-01,71.92,81.9,64.22
2006-05-01,73.07,81.9,64.2
2006-06-01,73.62,78.13,63.79
2006-07-01,73.36,78.13,63.86
2006-08-01,73.62,75.01,62.14
2006-09-01,73.99,72.64,62.2
2006-10-01,74.13,71,62.22
2006-11-01,73.78,70.18,62.23
2006-12-01,73.28,70.18,62.24
2007-01-01,72.85,70.59,62.29
2007-02-01,73,72.56,62.43
2007-03-01,73.56,72.56,62.66
2007-04-01,74.92,72.56,63.34
2007-05-01,75.21,73.46,63.44
2007-06-01,75.21,73.05,63.54
2007-07-01,75.27,72.64,63.69
2007-08-01,75.86,72.64,64.4
2007-09-01,76.57,73.54,65.28
2007-10-01,76.86,74.12,65.42
2007-11-01,77.14,74.12,65.7
2007-12-01,77.14,75.1,65.89
2008-01-01,77.65,75.1,66.41
2008-02-01,80.87,78.13,68.57
2008-03-01,84.24,79.44,70.03
2008-04-01,88.75,79.44,73.19
2008-05-01,92.75,79.44,75.81
2008-06-01,95.63,79.19,78.52
2008-07-01,100.07,79.19,79.87
2008-08-01,100.36,78.95,81.46
2008-09-01,101.85,78.78,81.73
2008-10-01,103.07,78.78,82.22
2008-11-01,100.64,78.78,80.83
2008-12-01,96.91,78.78,77.18
2009-01-01,95.92,81.57,76.78
2009-02-01,96.27,87.88,76.09
2009-03-01,96.56,87.8,76.04
2009-04-01,95.63,87.8,75.68
2009-05-01,94.12,87.8,75.16
2009-06-01,92.75,87.8,74.14
2009-07-01,92.97,87.8,74.13
2009-08-01,93.9,87.8,74.64
2009-09-01,94.55,87.8,75.38
2009-10-01,94.27,87.8,75.41
2009-11-01,93.9,87.8,75.38
2009-12-01,94.12,87.8,75.72
2010-01-01,94.46,87.8,76.66
2010-02-01,94.63,87.8,76.23
2010-03-01,95.62,87.8,77.09
2010-04-01,97.24,87.8,77.77
2010-05-01,98.59,87.8,79.46
2010-06-01,99.1,87.15,78.9
