date,var5,var9,var13,var14,var15,tar7
2000-01-01,39.09,48.54,46.78,54.8,47.16,46.86
2000-02-01,39.09,48.74,46.72,54.94,50.87,46.9
2000-03-01,40.63,48.95,46.78,54.8,51.78,46.96
2000-04-01,34.23,49,46.78,54.73,44.7,46.98
2000-05-01,34.54,48.95,46.78,54.87,49.95,47.07
2000-06-01,38.75,48.79,46.84,55.01,55.2,47.18
2000-07-01,33.32,48.79,46.96,55.23,51.94,47.12
2000-08-01,32.5,48.9,46.9,55.37,54.09,47.27
2000-09-01,28.94,49,47.32,55.52,58.66,47.35
2000-10-01,24.28,49.05,47.38,55.66,57.31,47.38
2000-11-01,24.03,48.9,47.44,55.73,59.88,47.39
2000-12-01,23.81,48.59,47.44,55.87,49.19,47.35
2001-01-01,29.16,48.54,47.5,56.16,51.07,47.22
2001-02-01,27.28,48.69,47.56,56.22,51.25,47.3
2001-03-01,24.69,49,47.73,56.65,47.19,47.41
2001-04-01,27.25,49.32,47.79,56.94,47.56,47.42
2001-05-01,28.89,49.68,47.73,57.09,49.57,47.49
2001-06-01,28.09,50.09,47.67,56.94,47.82,47.58
2001-07-01,25.56,50.71,47.56,56.65,45.81,47.67
2001-08-01,25.72,51.68,47.5,56.51,47.59,47.79
2001-09-01,22.64,52.51,47.85,56.44,45.41,47.87
2001-10-01,25.38,52.76,47.73,56.37,38.48,48
2001-11-01,30.39,52.97,47.73,56.37,33.92,48.1
2001-12-01,32.74,53.39,47.67,56.44,33.47,47.92
2002-01-01,35.3,54.78,48.33,56.44,33.97,47.82
2002-02-01,38.7,56.17,48.45,56.94,36,48.1
2002-03-01,42.26,57.47,48.63,57.16,42.46,48.45
2002-04-01,39.75,58.03,48.81,57.81,45.51,48.83
2002-05-01,37.58,58.39,48.87,57.87,46.78,49.17
2002-06-01,35.05,58.65,49.3,58.59,44.21,49.58
2002-07-01,33.88,59.21,49.3,58.52,46.66,49.87
2002-08-01,34.75,60.24,51.15,58.59,49.17,50.33
2002-09-01,30.51,61.69,51.15,58.52,51.33,50.72
2002-10-01,31.1,62,51.21,58.66,49.98,51.11
2002-11-01,34.2,62.05,51.21,58.59,45.6,51.43
2002-12-01,29.62,62.16,53.07,58.52,51.2,51.75
2003-01-01,27.93,62.1,53.31,59.02,57.02,52.14
2003-02-01,27.16,62.41,53.55,59.52,62.23,52.34
2003-03-01,25.28,62.88,53.78,60.53,57.55,52.55
2003-04-01,28.28,63.44,54.02,61.39,49.13,52.81
2003-05-01,29.89,64.48,53.96,61.17,48.89,52.88
2003-06-01,31.62,64.94,53.96,61.17,53.22,52.96
2003-07-01,33.67,65.09,54.02,61.11,53.27,52.84
2003-08-01,35.84,65.3,54.56,61.33,54.73,52.93
2003-09-01,32.92,65.85,54.56,61.39,49.29,53.03
2003-10-01,36.92,66.5,54.56,61.54,52.55,53.19
2003-11-01,37.57,66.27,54.68,61.88,53.64,53.38
2003-12-01,38.26,65.72,54.8,62.17,55.79,53.56
2004-01-01,40.04,65.46,55.88,63.4,59.16,54.31
2004-02-01,41.69,65.58,56.84,65.9,60.15,55.04
2004-03-01,41.55,65.72,57.91,68.12,63.69,56.15
2004-04-01,40.72,65.83,58.21,68.9,63.62,56.58
2004-05-01,37.93,65.82,58.57,70.2,69.77,57.08
2004-06-01,37.08,65.65,58.51,70.06,65.9,57.19
2004-07-01,34.7,65.47,58.69,70.06,70.5,57.14
2004-08-01,37.92,65.21,58.75,70.12,77.86,57.27
2004-09-01,39.41,65.07,59.36,70.41,79.45,57.52
2004-10-01,39.4,64.92,59.6,71.2,92.12,57.43
2004-11-01,41.44,64.64,59.77,71.63,84.08,57.65
2004-12-01,42.28,64.36,59.77,71.48,74.98,57.65
2005-01-01,44.02,64.19,59.77,71.56,81.41,57.86
2005-02-01,47.73,64.39,59.78,71.85,83.14,57.95
2005-03-01,45.57,64.64,59.91,72.06,93.71,57.89
2005-04-01,43.01,65.01,60.01,72.14,91.89,58.05
2005-05-01,45.79,65.36,59.95,71.85,86.49,57.9
2005-06-01,47.58,65.89,59.7,71.2,97.56,57.74
2005-07-01,52.44,66.44,59.72,71.42,101.72,57.75
2005-08-01,51.12,66.68,59.7,71.42,112.56,57.89
2005-09-01,57.62,66.84,59.76,71.35,113.76,57.94
2005-10-01,54.65,66.83,59.77,71.48,108.06,58.12
2005-11-01,61.23,66.82,59.71,71.63,101.02,58.12
2005-12-01,65.1,66.95,59.7,71.48,102.86,57.86
2006-01-01,66.06,67.16,60.12,71.05,113.01,57.72
2006-02-01,64.73,67.48,60.09,70.7,106.62,57.82
2006-03-01,64.16,67.91,60.12,71.05,108.97,57.92
2006-04-01,67,68.51,60.31,71.92,120.7,58.04
2006-05-01,62.18,69.21,60.62,73.07,122.94,58.36
2006-06-01,61.12,69.54,60.75,73.62,122.94,58.71
2006-07-01,61.25,69.69,60.71,73.36,128.83,58.76
2006-08-01,63.84,69.85,60.7,73.62,126.56,59.12
2006-09-01,64.72,70.19,61.18,73.99,111.09,59.5
2006-10-01,64.4,71.14,61.21,74.13,102.01,59.69
2006-11-01,67.59,73.35,61.2,73.78,102.72,59.89
2006-12-01,67.69,74.71,61.1,73.28,107.47,59.98
2007-01-01,64.19,75.37,61.44,72.85,94.91,60.08
2007-02-01,66.89,75.64,61.46,73,102.69,60.25
2007-03-01,68.55,75.78,61.6,73.56,104.92,60.63
2007-04-01,72.78,75.88,62.03,74.92,110.83,61.17
2007-05-01,80.27,75.9,62.16,75.21,110.03,61.52
2007-06-01,82.28,76,62.18,75.21,116.91,61.89
2007-07-01,91.23,76.2,62.17,75.27,128.29,61.86
2007-08-01,88.4,76.35,62.39,75.86,125.42,61.74
2007-09-01,91.86,76.55,63.06,76.57,137.96,61.7
2007-10-01,97.44,76.75,63.19,76.86,148.87,62
2007-11-01,89.95,76.95,63.3,77.14,164.19,62.27
2007-12-01,89.53,77.06,63.31,77.14,158.99,62.42
2008-01-01,76.67,77.27,64.15,77.65,161.09,62.75
2008-02-01,80.77,77.51,65.22,80.87,165.21,63.88
2008-03-01,80.41,78.11,66.44,84.24,182.78,64.57
2008-04-01,86.15,78.78,68.27,88.75,194.63,66.83
2008-05-01,87.4,79.26,70.05,92.75,217.72,68.54
2008-06-01,79.04,79.74,71.58,95.63,232.03,69.69
2008-07-01,75.26,80.05,73.79,100.07,232.09,71.72
2008-08-01,69.57,80.21,73.98,100.36,202.18,71.95
2008-09-01,68.34,80.4,75.32,101.85,180.94,71.98
2008-10-01,52.53,80.36,75.41,103.07,132.16,72.46
2008-11-01,50.78,80.03,74.63,100.64,98.7,72.38
2008-12-01,53.07,79.45,73.4,96.91,70.41,71.72
2009-01-01,54.84,79.01,73.56,95.92,72.12,71.65
2009-02-01,50.17,78.82,73.38,96.27,67.71,71.21
2009-03-01,56.93,78.68,73.39,96.56,83.13,70.95
2009-04-01,64.62,78.73,73.37,95.63,86.47,70.71
2009-05-01,65.87,78.82,72.93,94.12,102.67,70.14
2009-06-01,65.6,78.96,72.45,92.75,120.7,68.99
2009-07-01,73.49,79.18,72.52,92.97,111.24,68.64
