date,주택가격지수,국제상품가격-WTI원유,국제상품가격-구리,국제상품가격-아연,전기마감
2000-01-01,48.54,47.16,30.57,50.06,57.08
2000-02-01,48.74,50.87,29.96,46.65,56.98
2000-03-01,48.95,51.78,28.85,47.27,57.12
2000-04-01,49,44.7,27.89,48.1,57.08
2000-05-01,48.95,49.95,29.6,49.02,57.21
2000-06-01,48.79,55.2,29.05,47.41,57.39
2000-07-01,48.79,51.94,29.9,48.25,57.42
2000-08-01,48.9,54.09,30.79,49.8,57.37
2000-09-01,49,58.66,32.53,51.89,57.48
2000-10-01,49.05,57.31,31.41,46.37,57.46
2000-11-01,48.9,59.88,29.77,44.97,57.76
2000-12-01,48.59,49.19,30.71,45,57.78
2001-01-01,48.54,51.07,29.63,43.86,58.06
2001-02-01,48.69,51.25,29.28,43.39,58.26
2001-03-01,49,47.19,28.89,42.71,58.37
2001-04-01,49.32,47.56,27.62,41.21,58.42
2001-05-01,49.68,49.57,27.94,39.84,58.52
2001-06-01,50.09,47.82,26.7,38.1,58.45
2001-07-01,50.71,45.81,25.31,36.24,58.37
2001-08-01,51.68,47.59,24.31,35.26,58.35
2001-09-01,52.51,45.41,23.67,33.96,58.43
2001-10-01,52.76,38.48,22.84,32.36,58.39
2001-11-01,52.97,33.92,23.78,32.89,58.5
2001-12-01,53.39,33.47,24.42,32.19,58.67
2002-01-01,54.78,33.97,25.01,33.73,58.89
2002-02-01,56.17,36,25.89,32.85,59.27
2002-03-01,57.47,42.46,26.65,34.83,59.34
2002-04-01,58.03,45.51,26.34,34.3,59.56
2002-05-01,58.39,46.78,26.48,32.63,59.84
2002-06-01,58.65,44.21,27.37,32.68,60.08
2002-07-01,59.21,46.66,26.33,33.77,60.31
2002-08-01,60.24,49.17,24.59,31.81,60.47
2002-09-01,61.69,51.33,24.52,32.12,60.73
2002-10-01,62,49.98,24.64,32.07,60.83
2002-11-01,62.05,45.6,26.21,32.48,60.91
2002-12-01,62.16,51.2,26.41,33.74,61.03
2003-01-01,62.1,57.02,27.36,33.23,61.08
2003-02-01,62.41,62.23,27.89,33.37,61.74
2003-03-01,62.88,57.55,27.45,33.57,61.72
2003-04-01,63.44,49.13,26.33,32.14,61.84
2003-05-01,64.48,48.89,27.38,32.97,61.89
2003-06-01,64.94,53.22,27.94,33.58,62.02
2003-07-01,65.09,53.27,28.4,35.19,62.14
2003-08-01,65.3,54.73,29.13,34.63,62.22
2003-09-01,65.85,49.29,29.67,34.78,62.34
2003-10-01,66.5,52.55,31.93,38.23,62.55
2003-11-01,66.27,53.64,34.04,38.83,62.76
2003-12-01,65.72,55.79,36.51,41.49,63.03
2004-01-01,65.46,59.16,40.15,43.15,63.82
2004-02-01,65.58,60.15,45.62,46.12,64.46
2004-03-01,65.72,63.69,49.75,46.8,65.09
2004-04-01,65.83,63.62,48.53,43.7,66
2004-05-01,65.82,69.77,45.24,43.79,66.55
2004-06-01,65.65,65.9,44.59,43.28,66.83
2004-07-01,65.47,70.5,46.7,41.97,67.07
2004-08-01,65.21,77.86,47.16,41.49,67.2
2004-09-01,65.07,79.45,48.14,41.63,67.39
2004-10-01,64.92,92.12,49.9,45.32,67.39
2004-11-01,64.64,84.08,51.9,46.73,67.45
2004-12-01,64.36,74.98,52.06,50.21,67.64
2005-01-01,64.19,81.41,52.53,52.9,67.79
2005-02-01,64.39,83.14,53.84,56.2,68.09
2005-03-01,64.64,93.71,56.02,58.36,67.99
2005-04-01,65.01,91.89,56.2,55.12,67.95
2005-05-01,65.36,86.49,53.75,52.9,68.04
2005-06-01,65.89,97.56,58.52,54.08,68.15
2005-07-01,66.44,101.72,59.83,50.84,68.3
2005-08-01,66.68,112.56,62.87,55.25,68.5
2005-09-01,66.84,113.76,63.85,59.32,68.69
2005-10-01,66.83,108.06,67.25,63,69.4
2005-11-01,66.82,101.02,70.93,68.41,69.88
2005-12-01,66.95,102.86,75.89,77.28,70.12
2006-01-01,67.16,113.01,78.66,88.85,70.92
2006-02-01,67.48,106.62,82.49,94.28,70.92
2006-03-01,67.91,108.97,84.95,103.12,71.11
2006-04-01,68.51,120.7,106.19,130.33,72.21
2006-05-01,69.21,122.94,133.62,150.56,74
2006-06-01,69.54,122.94,119.76,135.82,74.56
2006-07-01,69.69,128.83,128.11,141.05,74.04
2006-08-01,69.85,126.56,127.51,141.87,74.17
2006-09-01,70.19,111.09,126.39,144.16,75.45
2006-10-01,71.14,102.01,124.31,162.66,75.49
2006-11-01,73.35,102.72,116.55,185.98,75.46
2006-12-01,74.71,107.47,110.77,186.1,75.15
2007-01-01,75.37,94.91,94.33,160.76,74.92
2007-02-01,75.64,102.69,94.81,141.08,74.58
2007-03-01,75.78,104.92,107.2,138.31,74.6
2007-04-01,75.88,110.83,128.55,151.5,76.53
2007-05-01,75.9,110.03,127.3,163.42,77.06
2007-06-01,76,116.91,124.59,154.13,77.08
2007-07-01,76.2,128.29,132.33,150.63,77.82
2007-08-01,76.35,125.42,124.36,137.8,77.81
2007-09-01,76.55,137.96,127.19,122.65,78.4
2007-10-01,76.75,148.87,132.98,126.58,78.45
2007-11-01,76.95,164.19,115.36,108.51,79.32
2007-12-01,77.06,158.99,109.94,101.03,79.29
2008-01-01,77.27,161.09,117.37,100.43,79.31
2008-02-01,77.51,165.21,131.67,104.42,79.91
2008-03-01,78.11,182.78,139.84,106.66,80.7
2008-04-01,78.78,194.63,144.48,96.78,81.53
2008-05-01,79.26,217.72,138.55,92.53,81.9
2008-06-01,79.74,232.03,137.48,80.97,81.64
2008-07-01,80.05,232.09,139.39,78.85,83.05
2008-08-01,80.21,202.18,126.57,73.68,83.61
2008-09-01,80.4,180.94,115.65,74.1,83.54
2008-10-01,80.36,132.16,81.16,55.35,83.1
2008-11-01,80.03,98.7,61.83,49.67,82.11
2008-12-01,79.45,70.41,51.48,47.27,80.64
2009-01-01,79.01,72.12,54.06,51.08,80.36
2009-02-01,78.82,67.71,55.19,47.49,80.28
2009-03-01,78.68,83.13,62.52,51.96,80.57
2009-04-01,78.73,86.47,73.57,58.96,80.98
2009-05-01,78.82,102.67,76.13,63.4,80.66
2009-06-01,78.96,120.7,83.16,66.12,80.61
2009-07-01,79.18,111.24,86.69,67.15,80.52
2009-08-01,79.42,123.11,102.42,77.22,81.54
2009-09-01,80,120.24,102.73,79.82,82.41
2009-10-01,80.3,131.36,104.56,87.96,82.37
2009-11-01,80.51,135.08,110.8,93.3,82.81
2009-12-01,80.62,129.3,115.68,100.84,83.32
2010-01-01,80.72,135.86,122.15,102.56,83.86
2010-02-01,80.96,132.21,113.87,91.7,83.95
2010-03-01,81.16,140.75,123.8,96.73,84.3
2010-04-01,81.32,146.4,128.16,100.56,84.84
2010-05-01,81.35,127.93,113.46,83.67,85.03
2010-06-01,81.37,130.54,107.8,74.18,85.14
2010-07-01,81.28,131.98,111.93,78.45,85.35
2010-08-01,81.24,132.74,121.08,86.97,85.41
2010-09-01,81.32,130.41,128.16,91.36,85.73
2010-10-01,81.49,141.89,137.45,100.82,86.23
2010-11-01,81.8,145.79,140.24,96.98,86.53
2010-12-01,82.14,154.83,151.76,97.15,87.15
2011-01-01,82.52,155.09,158.06,100.91,87.65
2011-02-01,83.18,154.9,163.83,105.06,88.01
2011-03-01,83.99,178.34,157.57,99.46,88.22
2011-04-01,84.69,190.84,157.23,100.73,88.32
2011-05-01,85.28,175.5,148.09,91.73,87.79
2011-06-01,85.7,166.82,150.33,94.91,87.96
2011-07-01,86.05,168.19,160.01,101.85,90.62
2011-08-01,86.47,149.57,149.19,93.41,91.1
2011-09-01,86.94,148.39,137.62,88.15,91.07
2011-10-01,87.29,149.71,122.6,79.49,90.83
2011-11-01,87.63,168.24,125.7,82.2,90.75
2011-12-01,87.78,170.77,125.33,81.18,90.98
2012-01-01,87.91,173.42,133.67,84.49,91.15
2012-02-01,88.06,177.23,139.96,87.41,91.33
2012-03-01,88.2,183.97,140.45,86.48,91.6
2012-04-01,88.29,179.02,137.38,85.06,91.86
2012-05-01,88.34,163.77,130.93,81.89,92.06
2012-06-01,88.3,142.76,123.16,78.83,92.13
2012-07-01,88.2,152.32,125.75,78.48,92.24
2012-08-01,88.11,163.06,124.53,77.15,91.96
2012-09-01,87.98,164.07,134.1,85.37,92.07
2012-10-01,87.88,155.23,133.67,80.87,92.12
2012-11-01,87.81,150.24,127.86,81.23,91.92
2012-12-01,87.75,152.91,132.09,86.67,92
2013-01-01,87.7,164.12,133.53,86.28,92.3
2013-02-01,87.65,165.12,133.65,90.42,92.66
2013-03-01,87.62,161.47,126.88,81.94,92.85
2013-04-01,87.62,159.51,119.73,78.82,93.02
2013-05-01,87.6,164.19,120.19,77.77,92.72
2013-06-01,87.57,165.92,116.07,78.11,92.89
2013-07-01,87.57,180.93,114.51,78.05,93.2
2013-08-01,87.53,184.41,119.15,80.55,93.26
2013-09-01,87.58,184.34,118.7,78.45,93.37
2013-10-01,87.75,174.22,119.43,80.06,93.27
2013-11-01,87.91,162.6,117.23,79.28,92.84
2013-12-01,88.08,169.59,119.63,83.89,92.93
2014-01-01,88.18,164.52,120.9,86.52,92.82
2014-02-01,88.32,174.48,118.54,86.42,93.11
2014-03-01,88.57,174.24,110.26,85.29,93.01
2014-04-01,88.75,177.03,110.65,86.11,92.77
2014-05-01,88.81,176.72,114.26,87.46,92.87
2014-06-01,88.87,182.31,113.1,90.39,92.86
2014-07-01,88.96,178.36,117.94,98.14,93.14
2014-08-01,89.07,166.87,116.09,98.84,92.98
2014-09-01,89.32,161.59,113.94,97.46,93.02
2014-10-01,89.58,146.24,111.71,96.71,93.04
2014-11-01,89.77,131.17,111.3,95.71,93.11
2014-12-01,89.93,102.46,106.88,92.42,93.04
2015-01-01,90.05,82.4,96.67,89.75,92.74
2015-02-01,90.25,88.12,94.99,89.1,92.29
2015-03-01,90.63,82.78,98.48,86.17,92.46
2015-04-01,91.08,94.21,100.18,93.99,92.51
2015-05-01,91.41,102.89,104.37,96.92,92.77
2015-06-01,91.83,103.66,96.71,88.44,92.98
2015-07-01,92.22,88.7,90.48,84.98,93.03
2015-08-01,92.58,74.34,85.01,76.78,93
2015-09-01,93.02,78.85,86.5,73.07,93.3
2015-10-01,93.33,80.16,86.48,73.24,93.1
2015-11-01,93.73,73.79,79.58,67.25,92.8
2015-12-01,93.9,64.8,76.91,64.89,92.94
2016-01-01,93.98,55.06,74.14,64.58,93.03
2016-02-01,94.05,52.63,76.25,72.63,93.41
2016-03-01,94.08,65.66,82.14,76.53,93.76
2016-04-01,94.12,71.08,80.79,78.81,93.82
2016-05-01,94.19,81.15,77.84,79.39,94.06
2016-06-01,94.26,84.53,76.97,86.06,94.25
2016-07-01,94.39,77.79,80.66,92.73,94.17
2016-08-01,94.51,77.53,78.78,96.81,94.23
2016-09-01,94.64,78.31,78.3,97.37,94.32
2016-10-01,94.87,86.3,78.45,98.18,94.54
2016-11-01,95.11,78.78,90.38,109,95.56
2016-12-01,95.17,90.18,93.85,113.19,96.22
2017-01-01,95.2,91.06,95.41,115.31,96.98
2017-02-01,95.21,92.6,98.5,120.87,97.53
2017-03-01,95.23,85.52,96.57,117.95,97.62
2017-04-01,95.27,88.65,94.24,111.07,97.83
2017-05-01,95.32,84.13,92.84,110.02,97.78
2017-06-01,95.48,78.29,94.84,109.31,98.06
2017-07-01,95.71,80.7,99.24,118.39,98.54
2017-08-01,95.93,83.25,107.53,126.61,99.36
2017-09-01,96.02,86.17,109.05,132.39,99.97
2017-10-01,96.13,89.35,112.87,138.66,100.81
2017-11-01,96.25,98.3,113.19,137.17,100.81
2017-12-01,96.35,100.35,113.31,135.75,100.9
2018-01-01,96.54,110.15,117.15,146.18,101.26
2018-02-01,96.74,107.81,116.17,150.06,101.62
2018-03-01,96.99,108.85,112.73,138.86,101.7
2018-04-01,97.15,114.88,113.6,135.41,101.9
2018-05-01,97.25,121.1,113.17,129.97,102.18
2018-06-01,97.34,117.6,115.5,131.19,102.72
2018-07-01,97.45,123.13,103.64,112.82,102.55
2018-08-01,97.66,117.69,100.33,106.7,102.61
2018-09-01,98.62,121.6,100.32,103.41,102.95
2018-10-01,99.18,122.57,103.12,113.56,103.54
2018-11-01,99.33,97.35,102.73,110.25,103.91
2018-12-01,99.4,84.75,100.73,111.13,104.27
2019-01-01,99.43,88.76,98.47,109.15,104.45
2019-02-01,99.35,95.29,104.46,114.99,104.99
2019-03-01,99.25,100.78,106.77,121.08,105.31
2019-04-01,99.12,110.65,106.75,124.57,105.3
2019-05-01,99.05,105.23,99.78,116.5,105.45
2019-06-01,98.97,94.72,97.53,110.49,105.35
2019-07-01,98.95,99.41,98.51,103.92,105.37
2019-08-01,99.02,94.99,94.66,96.55,105.75
2019-09-01,99.07,98.51,95.49,99.03,105.72
2019-10-01,99.15,93.49,95.46,104.13,105.67
2019-11-01,99.3,98.2,97.16,103.02,105.69
2019-12-01,99.64,103.72,100.76,96.53,106.01
2020-01-01,100,100,100,100,106.06
2020-02-01,100.36,87.68,94.31,89.76,106.2
2020-03-01,100.92,50.8,85.93,80.86,105.96
2020-04-01,101.16,29.42,83.86,80.85,105.79
2020-05-01,101.29,49.86,86.88,83.9,106.06
2020-06-01,101.79,66.37,95.41,86.04,106.57
2020-07-01,102.69,70.55,105.66,92.48,107.22
2020-08-01,103.49,73.41,107.91,102.53,107.66
2020-09-01,104.31,68.61,111.17,103.74,107.93
2020-10-01,105,68.28,111.32,103.67,107.97
2020-11-01,106.51,71.71,117.21,113.48,108.32
2020-12-01,107.97,81.55,128.87,118.07,109.13
2021-01-01,109.25,89.83,132.18,114.91,109.59
2021-02-01,110.73,102.62,140.45,116.57,110.9
2021-03-01,112.2,107.73,149.03,118.59,112.21
2021-04-01,113.38,106.41,154.61,120.16,113.39
2021-05-01,114.46,112.89,168.56,126.14,114.79
2021-06-01,115.97,123.67,159.69,125.38,115.11
2021-07-01,117.33,125.76,156.7,125.2,115.6
2021-08-01,119.08,117.58,155.36,126.91,116.3
2021-09-01,120.89,123.94,154.61,128.96,116.95
2021-10-01,122.16,140.96,162.97,142.71,118.08
2021-11-01,123.5,137.04,161.31,140.65,118.64
2021-12-01,124.12,124.39,158.36,144.38,119.47
2022-01-01,124.47,144.28,162.2,152.87,120.77
2022-02-01,124.73,158.71,164.86,153.76,121.58
2022-03-01,124.86,187.8,169.63,168.3,123.28
2022-04-01,125.12,176.7,168.7,185.67,124.38
2022-05-01,125.43,190.07,155.77,160.12,124.25
2022-06-01,125.55,198.68,150.34,155.16,124.56
2022-07-01,125.55,176.58,125.1,131.9,123.26
2022-08-01,125.38,162.32,132.49,152.49,124.32
2022-09-01,125.18,146.22,128.43,132.73,126.02
