date,주택가격지수,국내공급물가지수-생산재건설용,국제상품가격-WTI원유,통합
2000-01-01,48.54,54.8,47.16,51.13
2000-02-01,48.74,54.94,50.87,51.12
2000-03-01,48.95,54.8,51.78,51.2
2000-04-01,49,54.73,44.7,51.19
2000-05-01,48.95,54.87,49.95,51.29
2000-06-01,48.79,55.01,55.2,51.44
2000-07-01,48.79,55.23,51.94,51.45
2000-08-01,48.9,55.37,54.09,51.56
2000-09-01,49,55.52,58.66,51.63
2000-10-01,49.05,55.66,57.31,51.58
2000-11-01,48.9,55.73,59.88,51.66
2000-12-01,48.59,55.87,49.19,51.63
2001-01-01,48.54,56.16,51.07,51.3
2001-02-01,48.69,56.22,51.25,51.39
2001-03-01,49,56.65,47.19,51.55
2001-04-01,49.32,56.94,47.56,51.59
2001-05-01,49.68,57.09,49.57,51.69
2001-06-01,50.09,56.94,47.82,51.72
2001-07-01,50.71,56.65,45.81,51.74
2001-08-01,51.68,56.51,47.59,51.81
2001-09-01,52.51,56.44,45.41,51.89
2001-10-01,52.76,56.37,38.48,51.94
2001-11-01,52.97,56.37,33.92,52.11
2001-12-01,53.39,56.44,33.47,52.1
2002-01-01,54.78,56.44,33.97,52.11
2002-02-01,56.17,56.94,36,52.41
2002-03-01,57.47,57.16,42.46,52.71
2002-04-01,58.03,57.81,45.51,53.05
2002-05-01,58.39,57.87,46.78,53.34
2002-06-01,58.65,58.59,44.21,53.76
2002-07-01,59.21,58.52,46.66,54.03
2002-08-01,60.24,58.59,49.17,54.4
2002-09-01,61.69,58.52,51.33,54.73
2002-10-01,62,58.66,49.98,55
2002-11-01,62.05,58.59,45.6,55.23
2002-12-01,62.16,58.52,51.2,55.48
2003-01-01,62.1,59.02,57.02,55.78
2003-02-01,62.41,59.52,62.23,56.17
2003-03-01,62.88,60.53,57.55,56.34
2003-04-01,63.44,61.39,49.13,56.55
2003-05-01,64.48,61.17,48.89,56.69
2003-06-01,64.94,61.17,53.22,56.8
2003-07-01,65.09,61.11,53.27,56.75
2003-08-01,65.3,61.33,54.73,56.83
2003-09-01,65.85,61.39,49.29,56.91
2003-10-01,66.5,61.54,52.55,57.11
2003-11-01,66.27,61.88,53.64,57.35
2003-12-01,65.72,62.17,55.79,57.88
2004-01-01,65.46,63.4,59.16,58.58
2004-02-01,65.58,65.9,60.15,59.26
2004-03-01,65.72,68.12,63.69,60.39
2004-04-01,65.83,68.9,63.62,60.94
2004-05-01,65.82,70.2,69.77,61.4
2004-06-01,65.65,70.06,65.9,61.53
2004-07-01,65.47,70.06,70.5,61.55
2004-08-01,65.21,70.12,77.86,61.66
2004-09-01,65.07,70.41,79.45,61.9
2004-10-01,64.92,71.2,92.12,61.95
2004-11-01,64.64,71.63,84.08,62.12
2004-12-01,64.36,71.48,74.98,62.14
2005-01-01,64.19,71.56,81.41,62.29
2005-02-01,64.39,71.85,83.14,62.37
2005-03-01,64.64,72.06,93.71,62.26
2005-04-01,65.01,72.14,91.89,62.35
2005-05-01,65.36,71.85,86.49,62.3
2005-06-01,65.89,71.2,97.56,62.11
2005-07-01,66.44,71.42,101.72,62.12
2005-08-01,66.68,71.42,112.56,62.24
2005-09-01,66.84,71.35,113.76,62.33
2005-10-01,66.83,71.48,108.06,62.63
2005-11-01,66.82,71.63,101.02,62.74
2005-12-01,66.95,71.48,102.86,62.68
2006-01-01,67.16,71.05,113.01,62.83
2006-02-01,67.48,70.7,106.62,62.84
2006-03-01,67.91,71.05,108.97,62.95
2006-04-01,68.51,71.92,120.7,63.29
2006-05-01,69.21,73.07,122.94,63.86
2006-06-01,69.54,73.62,122.94,63.99
2006-07-01,69.69,73.36,128.83,63.92
2006-08-01,69.85,73.62,126.56,63.55
2006-09-01,70.19,73.99,111.09,64.05
2006-10-01,71.14,74.13,102.01,64.15
2006-11-01,73.35,73.78,102.72,64.23
2006-12-01,74.71,73.28,107.47,64.2
2007-01-01,75.37,72.85,94.91,64.22
2007-02-01,75.64,73,102.69,64.25
2007-03-01,75.78,73.56,104.92,64.47
2007-04-01,75.88,74.92,110.83,65.34
2007-05-01,75.9,75.21,110.03,65.65
2007-06-01,76,75.21,116.91,65.84
2007-07-01,76.2,75.27,128.29,66.05
2007-08-01,76.35,75.86,125.42,66.18
2007-09-01,76.55,76.57,137.96,66.56
2007-10-01,76.75,76.86,148.87,66.74
2007-11-01,76.95,77.14,164.19,67.15
2007-12-01,77.06,77.14,158.99,67.26
2008-01-01,77.27,77.65,161.09,67.58
2008-02-01,77.51,80.87,165.21,68.75
2008-03-01,78.11,84.24,182.78,69.63
2008-04-01,78.78,88.75,194.63,71.64
2008-05-01,79.26,92.75,217.72,73.1
2008-06-01,79.74,95.63,232.03,74.27
2008-07-01,80.05,100.07,232.09,76.05
2008-08-01,80.21,100.36,202.18,76.73
2008-09-01,80.4,101.85,180.94,76.84
2008-10-01,80.36,103.07,132.16,77.14
2008-11-01,80.03,100.64,98.7,76.55
2008-12-01,79.45,96.91,70.41,75
2009-01-01,79.01,95.92,72.12,74.8
2009-02-01,78.82,96.27,67.71,74.4
2009-03-01,78.68,96.56,83.13,74.32
2009-04-01,78.73,95.63,86.47,74.22
2009-05-01,78.82,94.12,102.67,73.73
2009-06-01,78.96,92.75,120.7,72.99
2009-07-01,79.18,92.97,111.24,72.79
2009-08-01,79.42,93.9,123.11,73.47
2009-09-01,80,94.55,120.24,74.26
2009-10-01,80.3,94.27,131.36,74.44
2009-11-01,80.51,93.9,135.08,74.77
2009-12-01,80.62,94.12,129.3,75.16
2010-01-01,80.72,94.46,135.86,75.94
2010-02-01,80.96,94.63,132.21,75.94
2010-03-01,81.16,95.62,140.75,76.46
2010-04-01,81.32,97.24,146.4,77.05
2010-05-01,81.35,98.59,127.93,78.08
2010-06-01,81.37,99.1,130.54,78.06
2010-07-01,81.28,99.11,131.98,78.2
2010-08-01,81.24,98.97,132.74,78.39
2010-09-01,81.32,99.18,130.41,78.61
2010-10-01,81.49,99.29,141.89,78.72
2010-11-01,81.8,99.48,145.79,79.16
2010-12-01,82.14,100.68,154.83,79.47
